"Atendimento";"Placa";"Motivo OS"
"6481659";"SWR7H95";""
"6481658";"SYQ3C93";"PREVENTIVA"
"6481657";"SSX5I03";"PREVENTIVA"
"6481656";"SYC9F09";"CORRETIVA"
"6481655";"SJH7H74";""
"6481654";"TIW6B56";""
"6481653";"SHS8J57";"PREVENTIVA"
"6481652";"ENI7E14";"O.S Rápida"
"6481651";"TDB0A81";""
"6481650";"FCS1E86";"SINISTRO"
"6481649";"ELA8A62";"RASTREADOR RETIRADA"
"6481648";"SIQ9B09";"CORRETIVA"
"6481647";"EKU7C01";"RASTREADOR RETIRADA"
"6481646";"FIA4D71";"PREVENTIVA"
"6481645";"EKU3J04";"RASTREADOR RETIRADA"
"6481644";"FIX3C31";"GUINCHO"
"6481643";"EBR9E32";""
"6481642";"EJN3C61";"RASTREADOR RETIRADA"
"6481641";"STP0C21";"SINISTRO"
"6481640";"ELA8A62";"DESMOBILIZAÇÃO"
"6481639";"TDI8J55";""
"6481638";"SJG9H10";"DESMOBILIZAÇÃO"
"6481637";"EKU7C01";"DESMOBILIZAÇÃO"
"6481636";"SII7I57";"CORRETIVA"
"6481635";"EOV8B93";"RASTREADOR RETIRADA"
"6481634";"EJN3C61";"DESMOBILIZAÇÃO"
"6481633";"EIJ8D91";"CORRETIVA"
"6481632";"EKU3J04";"DESMOBILIZAÇÃO"
"6481631";"EJL5B23";"RASTREADOR RETIRADA"
"6481630";"RUT5J31";""
"6481629";"SYT7A04";"SINISTRO"
"6481628";"FZJ5E14";"CORRETIVA"
"6481627";"EFY0E51";"RASTREADOR RETIRADA"
"6481626";"TCP4J60";""
"6481625";"FPN9G12";"PREVENTIVA"
"6481624";"EYQ8J72";"CORRETIVA"
"6481623";"TCP4J60";"PREVENTIVA"
"6481622";"EOV8B93";"DESMOBILIZAÇÃO"
"6481621";"EJL5B23";"DESMOBILIZAÇÃO"
"6481620";"EFY0E51";"DESMOBILIZAÇÃO"
"6481619";"SJG0J72";"CORRETIVA"
"6481618";"EFC4B52";"RASTREADOR RETIRADA"
"6481617";"FRZ6C22";"PREVENTIVA"
"6481616";"EFC4B52";"DESMOBILIZAÇÃO"
"6481615";"FYP0J32";"PREVENTIVA"
"6481614";"EZP7I15";"CORRETIVA"
"6481613";"SHH3E23";""
"6481612";"EEC2E64";"RASTREADOR RETIRADA"
"6481611";"PVR3C57";"PREVENTIVA"
"6481610";"STW6D70";"PREVENTIVA"
"6481609";"EEC2E64";"DESMOBILIZAÇÃO"
"6481608";"RFI8F37";""
"6481607";"SSW3I69";""
"6481606";"SIW9A38";"GUINCHO"
"6481605";"EGZ4D82";"SINISTRO"
"6481604";"SUH4F97";""
"6481603";"EKE4G76";"CORRETIVA"
"6481602";"OPP7E41";""
"6481601";"SHL3J15";"CORRETIVA"
"6481600";"STV5B10";"PREVENTIVA"
"6481599";"SSW6H13";"PREVENTIVA"
"6481598";"SWQ8C23";""
"6481597";"SJE9F91";"CORRETIVA"
"6481596";"RTY2B09";"RASTREADOR RETIRADA"
"6481595";"TCS6A08";"CORRETIVA"
"6481594";"SSV3B76";"PREVENTIVA"
"6481593";"SSV3B76";"PREVENTIVA"
"6481592";"RNF5G29";"SINISTRO"
"6481591";"RTY2B09";"DESMOBILIZAÇÃO"
"6481590";"SST5E43";"PREVENTIVA"
"6481589";"SST4B92";""
"6481588";"QUS2689";"PREVENTIVA"
"6481587";"SVX0G17";"PREVENTIVA"
"6481586";"SVM0D30";"PREVENTIVA"
"6481585";"GDX9F03";"O.S Rápida"
"6481584";"SYG8J32";"PREVENTIVA"
"6481583";"GED4J71";""
"6481582";"SUN6H61";"PREVENTIVA"
"6481581";"SJG9H10";"DESMOBILIZAÇÃO"
"6481580";"GHW2G34";"CORRETIVA"
"6481579";"EJG2F21";"RASTREADOR RETIRADA"
"6481578";"RTD8D08";"O.S Rápida"
"6481577";"EGU9C02";"RASTREADOR RETIRADA"
"6481576";"SJD8E47";"PREVENTIVA"
"6481575";"SIT2G49";"RASTREADOR RETIRADA"
"6481574";"SUG7E60";"CORRETIVA"
"6481573";"EJG2F21";"DESMOBILIZAÇÃO"
"6481572";"FIX3C31";"GUINCHO"
"6481571";"DCU7206";"O.S Rápida"
"6481570";"STP0C21";""
"6481569";"EGU9C02";"DESMOBILIZAÇÃO"
"6481568";"SIQ9B09";"CORRETIVA"
"6481567";"SIT2G49";"DESMOBILIZAÇÃO"
"6481566";"SIT2G47";"RASTREADOR RETIRADA"
"6481565";"RNK0B02";"SINISTRO"
"6481564";"SIT2G47";"DESMOBILIZAÇÃO"
"6481563";"SIS3C70";"RASTREADOR RETIRADA"
"6481562";"SSW3E45";"GUINCHO"
"6481561";"SIG0C62";"PREVENTIVA"
"6481560";"SIS3C70";"DESMOBILIZAÇÃO"
"6481559";"SIS3C67";"RASTREADOR RETIRADA"
"6481558";"STF1G91";"CORRETIVA"
"6481557";"EFQ3A24";"RASTREADOR RETIRADA"
"6481556";"SIS3C67";"DESMOBILIZAÇÃO"
"6481555";"FCV2H31";"PREVENTIVA"
"6481554";"SIS3B50";"RASTREADOR RETIRADA"
"6481553";"STW0I42";"PREVENTIVA"
"6481552";"EFQ3A24";"DESMOBILIZAÇÃO"
"6481551";"SVU4D81";"CORRETIVA"
"6481550";"SIS3B50";"DESMOBILIZAÇÃO"
"6481549";"ECU7H65";"RASTREADOR RETIRADA"
"6481548";"FIT8H42";"CORRETIVA"
"6481547";"ECU7H65";"DESMOBILIZAÇÃO"
"6481546";"RFH5B30";"RASTREADOR"
